Country ;CPI;CBI;GDP_per_capita ;GDP_per_capita_growth;Fiscal_balance ;Openness ;Real_interest_rate;Political_stability ;Export_netto
Peru;2,86;0,80;5686,00;2,95;-0,81;49,92;14,70;-0,63;2,38
Philippines;3,56;0,64;2566,81;3,13;-2,35;64,62;3,92;-1,27;-4,22
Poland;2,07;0,84;13325,90;3,78;-3,34;89,83;NA;0,75;0,18
Portugal;1,26;0,90;22050,81;0,23;-4,90;76,13;NA;0,90;-2,72
Qatar;3,02;0,59;76122,95;-0,05;NA;93,52;6,68;0,97;26,83
Russian Federation;7,76;0,57;11197,76;1,93;1,03;49,16;1,66;-0,82;7,60
Rwanda;6,57;0,58;655,96;4,25;-3,37;44,34;10,89;-0,18;-14,95
San Marino;1,99;NA;53705,86;-2,35;0,19;312,84;4,19;1,20;24,29
Senegal;1,72;0,70;1323,72;1,33;-4,13;58,37;2,85;-0,17;-15,34
Singapore;1,78;0,53;52762,76;2,41;5,88;359,46;4,08;1,33;26,78
Slovak Republic;2,06;0,87;17601,17;3,07;-3,50;171,90;NA;0,91;1,02
Slovenia;1,66;0,90;23717,14;1,27;-3,66;143,11;NA;0,94;4,48
South Africa;5,44;0,51;6768,26;0,24;-3,94;55,38;4,04;-0,10;-0,08
Spain;1,47;0,90;29832,50;-0,24;-5,34;59,93;NA;0,04;0,59
Sri Lanka;7,31;0,52;3262,83;4,30;-6,55;52,92;3,59;-0,67;NA
Sweden;1,22;0,77;53910,25;0,79;0,44;86,35;1,90;1,09;4,05
Switzerland;0,22;0,83;80137,89;0,71;0,36;120,45;2,79;1,30;9,06
Tanzania;7,46;0,45;855,41;2,85;-1,11;42,56;7,72;-0,30;-6,56
Thailand;1,77;0,40;5547,56;2,22;-0,61;125,75;2,66;-1,04;6,58
Togo;2,09;0,70;758,71;1,68;-1,89;64,92;2,92;-0,43;-11,84
Tunisia;4,56;0,69;3960,71;0,91;-2,33;97,53;NA;-0,52;-7,74
Turkiye;9,71;0,81;10402,64;3,28;-2,00;53,03;NA;-1,19;-2,91
Uganda;7,00;0,47;735,28;2,84;-3,18;40,87;11,70;-0,86;-9,13
Ukraine;12,76;0,72;3148,67;0,82;-2,95;96,20;1,35;-0,88;-5,43
United Arab Emirates;2,03;0,63;45486,46;-1,98;0,32;157,04;NA;0,77;21,96
United Kingdom;2,13;0,43;43247,47;-0,07;-7,05;59,72;-0,13;0,42;-1,36
United States;1,90;0,60;54541,24;0,83;-5,89;27,82;2,57;0,44;-3,46
Uzbekistan;12,38;0,72;1907,93;5,08;3,26;53,32;1,25;-0,66;-3,99
Viet Nam;7,31;0,30;2220,97;4,91;NA;143,64;1,60;0,16;-1,08
Zambia;9,92;0,55;1379,29;1,93;-3,85;70,49;4,69;0,29;2,58
